Language	English	Japanese	Korean	简体中文	繁體中文
sBlendModeNormal	Normal	通常	표준	Normal	Normal
sBlendModeAdd	Add	加算	가산	Add	Add
sBlendModeScreen	Screen	スクリーン	스크린	Screen	Screen
sBlendModeMul	Multiply	乗算	곱하기	Multiply	Multiply
sBorder	Border	範囲	범위	边界	邊界
sBorderAO	AO & Border	AOと影範囲	AO과 그림자 범위	AO & 边界	AO & 邊界
sBorderR	Border (R)	範囲 (R)	범위 (R)	边界 (R)	邊界 (R)
sBorderRGB	Border (RGB = 1st/2nd/3rd)	範囲 (RGB = 1st/2nd/3rd)	범위 (RGB = 1st/2nd/3rd)	边界 (RGB = 第一/第二/第三)	邊界 (RGB = 1st/2nd/3rd)
sBlur	Blur	ぼかし	흐리게	模糊	模糊
sBlurR	Blur (R)	ぼかし (R)	흐리게 (R)	模糊 (R)	模糊 (R)
sBlurRGB	Blur (RGB = 1st/2nd/3rd)	ぼかし (RGB = 1st/2nd/3rd)	흐리게 (RGB = 1st/2nd/3rd)	模糊 (RGB = 第一/第二/第三)	模糊 (RGB = 1st/2nd/3rd)
sBlurMask	Blur Mask	ぼかし量マスク	흐림 효과 마스크	模糊噪声	模糊遮罩
sAlphaR	Alpha (R)	透明度 (R)	투명도 (R)	透明度 (R)	透明度 (R)
sMainColorPower	Main Color Power	メインカラーの強度	메인 컬러의 강도	主色强度	主色強度
sEnableLighting	Enable Lighting	ライトの明るさを反映	라이팅을 적용	启用照明	啟用照明
sUVSetting	UV Setting	UV設定	UV 설정	UV 设置	UV 設定
sUVAnimation	UV Animation	UVアニメーション	UV 애니메이션	UV 动画	UV 動畫
sOffset	Offset	Offset	Offset	Offset	Offset
sScroll	Scroll	スクロール	스크롤	滚动	滾動
sAngle	Angle	角度	각도	角度	角度
sRotate	Rotate	回転速度	회전속도	旋转	旋轉
sAsMSDF	MSDF Texture	MSDFテクスチャ	MSDF 텍스처	MSDF 纹理	MSDF 貼圖
sAsDecal	As Decal	デカール化	데칼 화	作为 Decal	作為 Decal
sAnimation	Animation	アニメーション	애니메이션	动画	動畫
sXFrames	X Frames	X軸のフレーム数	X축 프레임 수	X轴帧数	X 軸幀數
sYFrames	Y Frames	Y軸のフレーム数	Y축 프레임 수	Y轴帧数	Y 軸幀數
sFrames	Frames	合計フレーム数	총 프레임 수	总帧数	總幀數
sFPS	FPS	FPS	FPS	FPS	FPS
sXRatio	Ratio X	X軸比率	X축 비율	X 比率	X 軸比率
sYRatio	Ratio Y	Y軸比率	Y축 비율	Y 比率	Y 軸比率
sFixBorder	Fix Border	境界を調整	경계 이동	修复边界	修復邊界
sConvertGif	Convert Gif	Gifを変換	GIF 변환	转换 Gif	轉換 Gif
sMirrorMode	Mirror Mode	ミラーモード	거울 모드	镜像模式	鏡像模式
sMirrorModeNormal	Normal	通常	보통	正常	正常
sMirrorModeFlip	Flip	反転	반전	翻转	翻轉
sMirrorModeLeft	Left Only	左のみ	왼쪽만	只向左	只向左
sMirrorModeRight	Right Only	右のみ	오른쪽만	只向右	只向右
sMirrorModeRightFlip	Flip Right Only	右のみ・反転	오른쪽만 · 반전	只向右翻转	只向右翻轉
sCopyMode	Copy Mode	複製モード	복제 모드	复制模式	複製模式
sCopyModeNormal	Normal	通常	보통	正常	正常
sCopyModeSymmetry	Symmetry	左右対称	대칭	对称	對稱
sCopyModeFlip	Flip	反転	반전	翻转	翻轉
sPosition	Position	座標	좌표	坐标	座標
sPositionX	Position X	X座標	X좌표	X 坐标	X 座標
sPositionY	Position Y	Y座標	Y좌표	Y 坐标	Y 座標
sScale	Scale	サイズ	크기	平铺大小	尺寸
sScaleX	Scale X	X軸サイズ	X축 크기	X 尺寸	X 軸尺寸
sScaleY	Scale Y	Y軸サイズ	Y축 크기	Y 尺寸	Y 軸尺寸
sVector	Vector	向き	방향	向量	向量
sVertex	Vertex	頂点	꼭짓점	顶点	頂點
sVertexColor	Vertex Color	頂点カラー	Vertex Color	顶点颜色	頂點顏色
sThreshold	Threshold	閾値	임계값	阈值	閾值
sDensity	Density	密度	밀도	密度	密度
sSensitivity	Sensitivity	感度	감도	灵敏度	靈敏度
sNormalStrength	Normal Map Strength	ノーマルマップ強度	노멀 맵 강도	法线贴图强度	法線貼圖強度
sColorAlphaZeroWarn	To enable the property, increase the alpha value.	プロパティを有効にするには透明度の値を上げて下さい。	속성을 유효하게 하려면 알파 값을 올려 주십시오.	增加 Alpha 值以启用该属性。	增加 Alpha 值以啟用該屬性。
sApplyTransparency	Apply Transparency	透明度を適用	투명도 적용	应用透明度	應用透明度
sVRParallaxStrength	VR Parallax Strength	VR時の視差の強さ	VR Parallax Strength	VR 视差强度	VR 視差強度
sShadowMask	Shadow Mask	影部分で無効化	그림자 속에서 무효화	阴影蒙版	陰影遮罩
sBackfaceMask	Backface Mask	裏面で無効化	후면에서 무효화	背面蒙版	背面遮罩
sRandomize	Randomize	ランダム化	임의화	随机化	隨機化
sLimShadowStrength	Shadow Strength	影の強さ	그림자 강도	阴影强度	陰影強度
sLimOutline	Outline	輪郭線の色	윤곽선의 색	轮廓	輪廓
sLimEmission	Emission	発光色	발광색	发光	自發光
sLimEmission2nd	Emission 2nd	発光色2nd	발광색 2nd	第二发光	自發光 2nd
sBaseSetting	Base Setting	基本設定	기본 설정	基本设置	基本設定
sInvisible	Invisible	非表示	숨기기	不可见	不可見
sAsUnlit	As Unlit	Unlit化	Unlit 화	Unlit化	Unlit 化
sAsUnlitWarn	A non-zero value is set for "As Unlit". This can cause differences in brightness between materials and avatars.	"Unlit化"が0以外に設定されています。これはマテリアル間・アバター間での明るさの違いを発生させる可能性があります。	"Unlit 화" 에 0 이외의 값이 설정되어 있습니다.이는 머티리얼·아바타 간의 밝기 차이를 발생시킬 가능성이 있습니다.	“Unlit 化”中设置了非零值。这可能会导致材质以及人物模型之间存在亮度差异。	「Unlit 化」中設定了 0 以外的值。這可能會導致材質以及 Avatar 之間存在亮度差異。
sShaderType	Shader Type	シェーダーの種類	셰이더 유형	着色器功能	著色器類型
sShaderTypeNormal	Normal	Normal (通常版)	Normal	Normal   (默认模式)	Normal
sShaderTypeLite	Lite	Lite (軽量版)	Lite	Lite         (轻量模式)	Lite
sRenderingMode	Rendering Mode	描画モード	렌더링 모드	渲染模式	渲染模式
sRenderingModeOpaque	Opaque	不透明	불투명	不透明	不透明
sRenderingModeCutout	Cutout	カットアウト	컷아웃	镂空	鏤空
sRenderingModeTransparent	Transparent	半透明	투명한	透明	透明
sRenderingModeRefraction	[high-load] Refraction	[高負荷] 屈折	[과부하] 굴절	[高负载] 折射	[高負荷] 折射
sRenderingModeRefractionBlur	[high-load] Refraction Blur	[高負荷] 屈折ぼかし	[과부하] 굴절 흐리게	[高负载] 折射模糊	[高負荷] 折射模糊
sRenderingModeFur	[high-load] Fur	[高負荷] ファー	[과부하] 퍼	[高负载] 毛发	[高負荷] 毛髮
sRenderingModeFurCutout	[high-load] Fur (Cutout)	[高負荷] ファー (カットアウト)	[과부하] 퍼 (컷아웃)	[高负载] 毛发(镂空)	[高負荷] 毛髮（鏤空）
sRenderingModeFurTwoPass	[high-load] Fur (2 pass)	[高負荷] ファー (2パス)	[과부하] 퍼 (2 pass)	[高负载] 毛发(2 pass)	[高負荷] 毛髮（2 pass）
sRenderingModeGem	[high-load] Gem	[高負荷] 宝石	[과부하] 보석	[高负载] 宝石	[高負荷] 寶石
sTransparentMode	Transparent Mode	透過モード	투명 모드	透明模式	透明模式
sTransparentModeNormal	Normal	通常	Normal	Normal	Normal
sTransparentModeOnePass	One Pass	1パス	One Pass	One Pass	One Pass
sTransparentModeTwoPass	Two Pass	2パス	Two Pass	Two Pass	Two Pass
sColorType	Color Type	カラータイプ	Color Type	颜色类型	顏色類型
sColorTypeNormal	Normal	通常	Normal	Normal	Normal
sColorTypeLUT	LUT	LUT	LUT	LUT	LUT
sAsOverlay	As Overlay	Overlayマテリアル	As Overlay	As Overlay	As Overlay
sCutoff	Cutoff	Cutoff (完全透明にする範囲)	Cutoff	Cutoff	Cutoff
sSubpassCutoff	Subpass Cutoff	Subpass Cutoff (完全透明にする範囲)	Subpass Cutoff	Subpass Cutoff	Subpass Cutoff
sCullMode	Cull Mode	Cull Mode (描画面)	Cull Mode	Cull Mode   (剔除方向)	Cull Mode（剔除模式）
sCullModeOff	Off	Off (両面を描画)	Off	Off         (渲染双面)	Off（不剔除）
sCullModeFront	Front	Front (裏面のみ描画)	Front	Front      (剔除表面，渲染背面)	Front（剔除表面）
sCullModeBack	Back	Back (前面のみ描画)	Back	Back       (剔除背面，渲染表面)	Back（剔除背面）
sFlipBackfaceNormal	Flip Backface Normal	裏面の法線を反転	뒷면의 법선을 반전	翻转背面法线	翻轉背面法線
sShiftBackfaceUV	Shift Backface UV	裏面のUVをずらす	뒷면의 UV를 드티다	移动背面 UV	移動背面 UV
sBackfaceForceShadow	Backface Force Shadow	裏面を影にする	뒷면에 그림자를 드리우다	背面强制阴影	背面強制陰影
sAAShading	Anti-aliasing shading	アンチエイリアスシェーディング	Anti-aliasing shading	抗锯齿阴影	抗鋸齒陰影
sDither	Dither	Dither	Dither	Dither	Dither
sSimpleStencilSettings	Simple Stencil Settings	簡易ステンシル設定	간이 스텐실 설정	简易 Stencil 设置	簡易 Stencil 設定
sStencilModeNormal	Normal	通常	Normal	默认	Normal
sStencilModeWriter	Writer	Writer	Writer	Writer	Writer
sStencilModeReader	Reader	Reader	Reader	Reader	Reader
sStencilModeReaderInvert	Reader (Invert)	Reader (反転)	Reader (반전)	Reader (翻转)	Reader（翻轉）
sStencilModeReaderFade	Reader (Fade)	Reader (半透明)	Reader (투명한)	Reader (透明)	Reader（透明）
sTransparentPresetsPreWriteDepth	Pre-write depth	深度を事前に書き込み	심도를 사전에 기입하다	预先写入深度	預先寫入深度
sTransparentPresetsColorTransparent	Color Transparent	色付き透過	색 투과	彩色透明	彩色透明
sTransparentPresetsBackAndFront	Back and Front	裏面 & 表面	이면 & 표면	背面 & 表面	背面 & 表面
sTransparentPresetsCutoutAndTransparent	Cutout and Transparent	カットアウト & 透過	컷아웃 & 투명한	镂空 & 透明	鏤空 & 透明
sTransparentPresetsFadeStencil	Fade Stencil	透過ステンシル	페이드 스텐실	淡出 Stencil	淡出 Stencil
sOutType	Out Type	出力タイプ	출력 유형	输出类型	輸出類型
sOutTypeNormal	Normal	通常	Normal	Normal	Normal
sOutTypeFlat	Flat	フラット	Flat	Flat	Flat
sOutTypeMono	Mono	単色	Mono	Mono	Mono
sLightingSettings	Lighting	ライティング・明るさ設定	라이팅 설정	照明设置	照明設定
sVertexLightStrength	Vertex Light Strength	頂点ライトの強度	꼭지점 라이트의 강도	顶点灯强度	頂點燈強度
sLightMinLimit	Lower brightness limit	明るさの下限	밝기의 하한	亮度下限	亮度下限
sLightMaxLimit	Upper brightness limit	明るさの上限	밝기의 상한	亮度上限	亮度上限
sMonochromeLighting	Monochrome Lighting	ライトのモノクロ化	라이트의 흑백화	单色照明	單色照明
sLightDirectionOverride	Light Direction Override	ライト方向のオーバーライド	라이트 방향의 오버라이드	定向光覆盖	定向光覆蓋
sObjectFollowing	Object direction following	オブジェクトの向きに追従	오브젝트의 방향 추종	跟随对象方向	跟隨對象方向
sDirectionalLightStrength	[HDRP] Directional Light Strength	[HDRP] Directional Lightの強さ	[HDRP] Directional Light Strength	[HDRP] 定向光强度	[HDRP] Directional Light Strength
sBeforeExposureLimit	[HDRP] Before exposure limit	[HDRP] Before exposure limit	[HDRP] Before exposure limit	[HDRP] Before exposure limit	[HDRP] Before exposure limit
sLightingPreset	Apply Preset	プリセットを適用	프리셋 적용	应用预设	應用預設
sLightingPresetDefault	Default	通常	디폴트	通常	通常
sLightingPresetStable	Stable	安定	안정	稳定	穩定
sLightingPresetSemiMonochrome	Semi-monochrome	半モノクロ	세미 모노크롬	半单色	半單色
sHelpRenderingTransparent	When two transparent materials overlap, one of them may become invisible. In this case, increase the "Render Queue" value of the material in the foreground to fix the problem.	透過マテリアル同士が重なったときに片方が見えなくなる場合があります。その場合は手前に表示されるマテリアルのRender Queueの値を上げることで改善されます。	투명 Material끼리 겹친 때 한쪽이 보이지 않을 수 있습니다. 이 경우는 앞에 표시되는 머티리얼의 "Render Queue" 값을 올림으로써 수정됩니다.	当两个透明材质重叠时，其中一个可能会变得不可见。这种情况下，通过提高前面显示的材质的"Render Queue"值来修正。	當兩個透明材質重疊時，其中一個可能會變得不可見。這種情況下，通過提高前面顯示的材質的「Render Queue」值來修正。
sHelpRenderingFur	Limited features applied to fur parts for performance.	ファーでは負荷軽減のためにファー部分に適用される機能が制限されています。	퍼포먼스를 위해 퍼에 적용되는 기능이 제한되어 있습니다.	由于性能原因，应用于毛发的功能受到限制。	由於性能原因，應用於毛髮的功能受到限制。
sHelpTransparentForWorld	Setting Render Queue to 2999 or lower for transparent materials can make other materials in the back invisible, causing problems such as clothes and hair to disappear. For world projects, it is recommended to set it above 3000 or turn off ZWrite.	透過マテリアルでRenderQueueを2999以下に設定すると奥にある他のマテリアルを見えなくし、服や髪が消えるなどの問題が発生する可能性があります。ワールド用途であれば3000以上に設定したりZWriteをオフにしたりする設定がオススメです。	투과머티리얼에서 Render Queue 2999 이하로 설정하면 안쪽에 있는 다른 머티리얼을 볼 수 없어 옷이나 머리카락이 사라지는 등의 문제가 발생할 수 있습니다. 월드 용도라면 3000 이상으로 설정하거나 ZWrite를 끄거나 하는 설정을 추천합니다.	将透明材质的 Render Queue 设置为 2999 或更低，会使后面的其他材质不可见，造成衣服和头发消失等问题。对于 World 项目，推荐设定为 3000 以上或关闭 ZWrite 设定。	若將透明材質的 Render Queue 設定為 2999 以下，則可能會出現看不見後方的其他材質、衣服和頭髮消失等問題。對於 World 項目，推薦設定為 3000 以上或關閉 ZWrite 設定。
sHelpGrabPass	Reflection and gem use GrabPass, which can have a significant impact on performance on mobile GPUs.	屈折・宝石はGrabPassを利用するため、モバイル環境においてパフォーマンスに大きな影響を及ぼす可能性があります。	굴절·보석은 GrabPass를 사용하기 때문에 모바일 GPU에서 성능에 큰 영향을 미칠 수 있습니다.	反射和宝石使用 GrabPass，因此可能对移动端 GPU 产生很大的性能影响。	折射和寶石使用 GrabPass，因此在移動端 GPU 中可能對性能產生極大影響。
sHelpGeometryShader	Geometry shaders do not work on iOS or Mac, so it is recommended to change to another rendering mode.	ジオメトリシェーダーはiOSやMacで動作しないため、他レンダリングモードに置き換えることを推奨します。	지오메트리셰이더는 iOS나 Mac에서 작동하지 않으므로 타 렌더링 모드로 변경하는 것이 좋습니다.	由于几何体着色器在 iOS 或 Mac 上不起作用，因此建议将其更改为其他渲染模式。	由於幾何體著色器在 iOS 或 Mac 上不起作用，因此建議將其更改為其他渲染模式。
sHelpOnePassVertexLight	When using One Pass Transparent, it is recommended to set Vertex Light Strength to 1.0.	1パス使用時は頂点ライトの強度を1.0にしておくことをオススメします。	One Pass Transparent 사용 시에는 Vertex Light Strength를 1.0으로 설정할 것을 권장합니다.	使用 One Pass Transparent 时，建议将顶点灯强度设定为 1.0。	使用 One Pass Transparent 時推薦將頂點燈強度設定為 1.0。
sHelpCullMode	If the material does not look right, set the CullMode to Off or Back.	表示がおかしい場合はCullModeをOffもしくはBackにしてください	표시가 이상한 경우는 CullMode을 Off 또는 Back합니다	如果材质看起来不正确，请将 CullMode 设置为 Off 或 Back。	如果材質看起來不正確，請將剔除模式設定為 Off 或 Back。
sHelpZWrite	If the material does not look right, turn on ZWrite.	表示がおかしい場合はZWriteをオンにしてください	표시가 이상한 경우는 ZWrite을 선택하십시오	如果材质看起来不正确，请打开 ZWrite。	如果材質看起來不正確，請打開 ZWrite。
sAlphaBoostFA	[Built-in RP] Alpha Boost (Point / Spot Light)	[Built-in RP] 透明度ブースト (Point / Spot Light)	[Built-in RP] Alpha Boost (Point / Spot Light)	[Built-in RP] 透明度提升 (点光源 / 聚光灯)	[Built-in RP] 透明度提升（點光源 / 聚光燈）
sLightBlending	[Built-in RP] Light Blending	[Built-in RP] ライトの合成	[Built-in RP] Light Blending	[Built-in RP] 混合光	[Built-in RP] 混合光
sBlendingAdd	Add	加算	Add	Add	Add
sBlendingMax	Max	比較（明）	Max	Max	Max
sMaskTiling	Mask UV Tiling	Mask UV Tiling	Mask UV Tiling	蒙版 UV Tiling	遮罩 UV Tiling
sMaskOffset	Mask UV Offset	Mask UV Offset	Mask UV Offset	蒙版 UV Offset	遮罩 UV Offset
sNoise	Noise	ノイズ	노이즈	噪点	噪點
sNoiseR	Noise (R)	Noise (R)	Noise (R)	Noise (R)	Noise (R)
sNoiseStrength	Noise Strength	ノイズの強度	노이즈 강도	噪点强度	噪點強度
sTriMask	TriMask (Mat/Rim/Emi)	TriMask (Mat/Rim/Emi)	TriMask (Mat/Rim/Emi)	TriMask (Mat/Rim/Emi)	TriMask (Mat/Rim/Emi)
sTriMaskRGB	Mask (R:MatCap G:Rim B:Emission)	Mask (R:MatCap G:Rim B:Emission)	Mask (R:MatCap G:Rim B:Emission)	Mask (R:MatCap G:Rim B:Emission)	Mask (R:MatCap G:Rim B:Emission)
sApplyTo	Apply to	適用先	적용처	应用到	應用到
sMainUV	UV Setting	UV設定	UV 설정	UV 设置	UV 設定
sMainUVTips	You can set the UV position, scale and animation.	UVの位置やサイズ、アニメーションの設定ができます	UV의 위치 나 크기, 애니메이션을 설정할 수 있습니다	您可以在此设置 UV 坐标、比例和动画。	你可以設定 UV 座標、比例和動畫。
sColors	Color	色設定	색상 설정	纹理设置	顏色設定
sMainColorSetting	Main Color / Alpha	メインカラー / 透過設定	메인 컬러 / 알파 설정	主色 / Alpha 设置	主色 / Alpha 設定
sMainColorSettingSimple	Main Color / Alpha	メインカラー / 透過設定 (色替え)	메인 컬러 / 알파 설정	主色 / Alpha 设置	主色 / Alpha 設定
sMainColorTips	You can set the color and transparency.	色や透明度の設定ができます	색상과 투명도를 설정할 수 있습니다	您可以在此设置颜色和透明度。	你可以設定顏色和透明度。
sMainColorAlpha	Main Color / Alpha	メインカラー / 透過	메인 컬러 / 알파	主色 / 透明度	主色 / Alpha
sMainColor	Main Color	メインカラー	메인 컬러	主色	主色
sMainColor2nd	Main Color 2nd	メインカラー2nd	메인 컬러 2nd	第二主色	主色 2nd
sMainColor3rd	Main Color 3rd	メインカラー3rd	메인 컬러 3rd	第三主色	主色 3rd
sColorAdjust	Color Adjust	色調補正	색조 보정	色调校正	色調校正
sGradationMap	Gradation Map	グラデーションマップ	그라디언트 맵	渐变映射	漸變映射
sNotAlphaIsTransparency	This texture is not marked as AlphaIsTransparency	このテクスチャはAlphaIsTransparencyとして設定されていません	이 텍스처는 Alpha Is Transparency로 설정되어 있지 않습니다	此纹理的 Alpha 未被设置为透明	此貼圖未被設定為 AlphaIsTransparency
sAlphaMask	Alpha Mask	アルファマスク	알파 마스크	Alpha 蒙版	Alpha 遮罩
sAlphaMaskWarnOpaque	If you want to use Alpha Mask, you need to change the "Rendering Mode" to Cutout or Transparent.	アルファマスクを使う場合は"描画モード"をカットアウトか半透明に変更する必要があります。	알파 마스크를 사용하려면 "렌더링 모드"를 단편 또는 반투명로 변경해야합니다.	如果要使用 Alpha 蒙版，需要将“渲染模式”改为镂空或透明。	如果要使用 Alpha 蒙版，需要將「渲染模式」更改為鏤空或透明。
sAlphaMaskModeNone	None	None	None	无	無
sAlphaMaskModeReplace	Replace	置き換え	Replace	Replace	Replace
sAlphaMaskModeMul	Multiply	乗算	Multiply	Multiply	Multiply
sAlphaMaskModeAdd	Add	加算	Add	Add	Add
sAlphaMaskModeSub	Subtract	減算	Subtract	Subtract	Subtract
sShadowSetting	Shadow	影設定	그림자 설정	阴影设置	陰影設定
sShadowTips	You can set the color and range of the shadow.	影の色や範囲の設定ができます	그림자의 색상과 범위를 설정할 수 있습니다	您可以在此设置阴影的颜色和范围。	你可以設定陰影的顏色和範圍。
sShadow	Shadow	影	그림자	启用阴影	陰影
sReceiveShadow	Receive Shadow	影を受け取る	그림자를받는	接收阴影	接收陰影
sShadowColor	ShadowColor	影色	그림자 색	阴影颜色	陰影顏色
sShadow1stColor	1st Color	影色1	그림자 색 1	阴影颜色 1 	陰影顏色 1
sShadow2ndColor	2nd Color	影色2	그림자 색 2	阴影颜色 2 	陰影顏色 2
sShadow3rdColor	3rd Color	影色3	그림자 색 3	阴影颜色 3 	陰影顏色 3
sShadowEnvStrength	Environment strength on shadow color	影色への環境光影響度	그림자 색에 환경 광의 영향	阴影颜色的环境影响	陰影顏色的環境強度
sShadowBorderColor	Border Color	境界の色	경계의 색	边界颜色	邊界顏色
sShadowBorderRange	Border Range	境界の幅	경계의 폭	边界范围	邊界範圍
sIgnoreBorderProperties	Ignore border properties	影範囲設定を無視して適用	범위 설정 무시	忽略边界设置	忽略邊界設定
sFlat	Flat	平面化	플랫	平展    	平的
sBacklightSetting	Backlight	逆光ライト	Backlight 설정	Backlight 设置      (背光效果)	背光效果設定（Backlight）
sBacklight	Backlight	逆光ライト	Backlight	背光效果	背光效果
sBacklightTips	Add a backlight when the light is behind the model.	逆光時に光を乗せる表現ができます	라이트가 모델 뒤에 있을 때 백라이트를 추가하다	当摄像机对准模型的背光面时，为模型的受光面添加高光效果	當照明在模型後方時添加 Backlight。
sDirectivity	Directivity	指向性	지향성	指向性	指向性
sViewDirectionStrength	View direction strength	視線方向の影響度	뷰 방향의 영향도	视线方向强度	視線方向影響
sOutlineSetting	Outline	輪郭線設定	윤곽선 설정	Outline 设置      (描边效果)	輪廓設定
sOutlineTips	You can set the color and thickness of the outline.	輪郭線の色や太さの設定ができます	윤곽선의 색과 굵기를 설정할 수 있습니다	您可以在此设置轮廓的颜色和厚度。	你可以設定輪廓的顏色和厚度。
sOutline	Outline	輪郭線	윤곽선	描边效果	輪廓
sHighlight	Highlight	ハイライト	하이라이트	高亮颜色	高亮顏色
sWidth	Mask & Width	マスクと太さ	마스크와 굵기	蒙版 & 宽度	遮罩 & 寬度
sWidthR	Width (R)	太さ (R)	굵기 (R)	宽度 (R)	寬度 (R)
sFixWidth	Fix width by distance	距離に応じた太さ補正	거리에 따른 굵기 보정	按距离修正宽度	按距離修正寬度
sVertexR2Width	R -> Width	R -> Width	R -> Width	R -> Width	R -> Width
sVertexRGBA2Normal	RGBA -> Normal & Width	RGBA -> Normal & Width	RGBA -> Normal & Width	RGBA -> Normal & Width	RGBA -> Normal & Width
sDeleteMesh0	Remove zero width vertices	太さ0の頂点を削除	굵기 0의 꼭짓점 삭제	删除宽度为 0 的顶点	刪除寬度為 0 的頂點
sDisableInVR	Disable in VR	VR時に非表示	VR에서 사용 안 함	在 VR 中禁用	在 VR 中禁用
sRefractionSetting	Refraction	屈折設定	굴절 설정	折射设置	折射設定
sRefractionTips	You can set the refraction strength and color.	屈折の強さや色の設定ができます	굴절의 강도나 색을 설정할 수 있습니다	您可以在此设置折射强度和颜色。	你可以設定折射強度和顏色。
sRefraction	Refraction	屈折	굴절	折射	折射
sRefractionFresnel	Fresnel	フレネル	프레넬	菲涅尔	菲涅爾
sColorFromMain	Get color from Main	メインカラーから色を取得	메인 컬러에서 색상 가져 오기	从主色获取纹理	從主色獲取顏色
sFurSetting	Fur	ファー設定	퍼 설정	毛发设置	毛髮設定
sFurTips	You can set the length and direction of the fur.	ファーの長さや向き、質感の設定ができます	퍼의 길이와 방향, 질감을 설정할 수 있습니다	您可以在此设置毛发的长度和方向。	你可以設定毛髮的長度和方向。
sFur	Fur	ファー	퍼	毛发	毛髮
sGravity	Gravity	重力	중력	重力	重力
sAO	AO	陰影	AO	AO	AO
sVertexColor2Vector	VertexColor -> Vector	VertexColor -> Vector	VertexColor -> Vector	VertexColor -> Vector	VertexColor -> Vector
sLayerNum	Layer Counts	レイヤー数	레이어 수	层数	層數
sRootWidth	Root Width	根本の太さ	근본 굵기	根厚度	根厚度
sTouchStrength	Touch strength	接触強度	접촉 강도	接触强度	接觸強度
sTessellation	Tessellation (Extremely high load)	テッセレーション (非常に高負荷)	테셀레이션 (매우 높음)	镶嵌化处理 (极高负载)	Tessellation（極高的負荷）
Tessellation	Tessellation (Extremely high load)	テッセレーション (非常に高負荷)	테셀레이션 (매우 높음)	镶嵌化处理	Tessellation（極高的負荷）
sTessellationTips	You can set the tessellation.	テッセレーションのかかり方を設定できます	텟세레이션을 설정할 수 있습니다.	您可以在此设置镶嵌选项。	你可以設定 Tessellation。
sTessellationEdge	Threshold length	閾値	길이의 한계	阈值	閾值長度
sTessellationShrink	Shrink	縮小補正	축소	收缩幅度	縮減
sTessellationFactor	Max Factor	最大分割数	최대 분할수	最大细分数	最大係數
RimShade	RimShade	RimShade	RimShade	边缘阴影	邊緣陰影設定（RimShade）
sEmissionSetting	Emission	発光設定	발광 설정	Emission 设置      (自发光效果)	自發光設定
sEmissionTips	You can set the color and blinking of the light.	発光の色や点滅に関する設定ができます	발광의 색이나 점멸에 관한 설정이 가능합니다	您可以在此设置灯光颜色和闪烁。	你可以設定燈光的顏色和閃爍。
sEmission	Emission	発光テクスチャ	발광	自发光效果	自發光
sEmission2nd	Emission 2nd	発光テクスチャ2nd	발광 2nd	次要自发光	自發光 2nd
sBlinkStrength	Blink Strength	点滅の強さ	점멸 힘	闪烁强度	閃爍強度
sBlinkType	Blink Type	点滅タイプ	점멸 타입	禁用渐变闪烁	閃爍類型
sBlinkSpeed	Blink Speed	点滅の速度	점멸 속도	闪烁速度	閃爍速度
