Language	English	Japanese	Korean	Chinese Simplified	Chinese Traditional
sSubpassCutoff	Subpass Cutoff	Subpass Cutoff (完全透明にする範囲)	Subpass Cutoff	Subpass Cutoff	Subpass Cutoff
sCullMode	Cull Mode	Cull Mode (描画面)	Cull Mode	Cull Mode	Cull Mode
sCullModeOff	Off	Off (両面を描画)	Off	Off	Off
sCullModeFront	Front	Front (背面のみ描画)	Front	Front	Front
sCullModeBack	Back	Back (前面のみ描画)	Back	Back	Back
sFlipBackfaceNormal	Flip Backface Normal	背面の法線を反転	후면의 법선을 반전	翻转背影法线	翻轉背影法線
sShiftBackfaceUV	Shift Backface UV	背面のUVをずらす	후면의 UV를 드티다	移动背面的UV	移動背面的UV
sBackfaceForceShadow	Backface Force Shadow	裏面を影にする	뒷면에 그림자를 드리우다	背面的力量阴影	背面的力量陰影
sLightingSettings	Lighting Settings	ライティング設定	Lighting Settings	Lighting Settings	Lighting Settings
sVertexLightStrength	Vertex Light Strength	頂点ライトの強度	Vertex Light Strength	Vertex Light Strength	Vertex Light Strength
sLightMinLimit	Lower brightness limit	明るさの下限	Lower brightness limit	Lower brightness limit	Lower brightness limit
sLightMaxLimit	Upper brightness limit	明るさの上限	Upper brightness limit	Upper brightness limit	Upper brightness limit
sMonochromeLighting	Monochrome Lighting	ライトのモノクロ化	Monochrome Lighting	Monochrome Lighting	Monochrome Lighting
sLightDirectionOverride	Light Direction Override	ライト方向のオーバーライド	Light Direction Override	Light Direction Override	Light Direction Override
sDirectionalLightStrength	[HDRP] Directional Light Strength	[HDRP] Directional Lightの強さ	[HDRP] Directional Light Strength	[HDRP] Directional Light Strength	[HDRP] Directional Light Strength
sBeforeExposureLimit	[HDRP] Before exposure limit	[HDRP] Before exposure limit	[HDRP] Before exposure limit	[HDRP] Before exposure limit	[HDRP] Before exposure limit
sLightingPreset	Apply Preset	プリセットを適用	프리셋 적용	应用预设	應用預設
sLightingPresetDefault	Default	通常	디폴트	通常	通常
sLightingPresetStable	Stable	安定	안정	稳定	穩定
sHelpRenderingTransparent	When two transparent materials overlap, one of them may become invisible.	透過マテリアル同士が重なったときに片方が見えなくなる場合があります	투명 Material끼리 겹친 때 한쪽이 보이지 않을 수 있습니다	当两个透明Material重叠时，其中一个可能会变得不可见。	當兩個透明Material重疊時，其中一個可能會變得不可見。
sHelpOnePassVertexLight	When using One Pass / Two Pass Transparent, it is recommended to set Vertex Light Strength to 1.0.	1パス・2パス使用時は頂点ライトの強度を1.0にしておくことをオススメします。	One Pass / Two Pass Transparent 사용 시에는 Vertex Light Strength를 1.0으로 설정할 것을 권장합니다.	使用One Pass/Two Pass Transparent时推荐将Vertex Light Strength设定为1.0。	使用One Pass/Two Pass Transparent時推薦將Vertex Light Strength設定為1.0。
sHelpCullMode	If the material does not look right, set the CullMode to Off or Back.	表示がおかしい場合はCullModeをOffもしくはBackにしてください	표시가 이상한 경우는 CullMode을 Off 또는 Back합니다	如果材质看起来不对，请将CullMode设置为Off或Back。	如果材質看起來不對，請將CullMode設置為Off或Back。
sHelpZWrite	If the material does not look right, turn on ZWrite.	表示がおかしい場合はZWriteをオンにしてください	표시가 이상한 경우는 ZWrite을 선택하십시오	如果材质看起来不对，请打开ZWrite。	如果材質看起來不對，請打開ZWrite。
sMaskTiling	Mask UV Tiling	Mask UV Tiling	Mask UV Tiling	蒙版UV Tiling	蒙版UV Tiling
sMaskOffset	Mask UV Offset	Mask UV Offset	Mask UV Offset	蒙版UV Offset	蒙版UV Offset
sNoise	Noise	ノイズ	노이즈	噪点	噪點
sNoiseR	Noise (R)	Noise (R)	Noise (R)	Noise (R)	Noise (R)
sNoiseStrength	Noise Strength	ノイズの強度	노이즈 강도	噪点强度	噪點強度
sTriMask	TriMask (Mat/Rim/Emi)	TriMask (Mat/Rim/Emi)	TriMask (Mat/Rim/Emi)	TriMask (Mat/Rim/Emi)	TriMask (Mat/Rim/Emi)
sTriMaskRGB	Mask (R:MatCap G:Rim B:Emission)	Mask (R:MatCap G:Rim B:Emission)	Mask (R:MatCap G:Rim B:Emission)	Mask (R:MatCap G:Rim B:Emission)	Mask (R:MatCap G:Rim B:Emission)
sApplyTo	Apply to	適用先	적용처	申请	申請
sMainUV	UV Setting	UV設定	UV 설정	UV设置	UV設置
sMainUVTips	You can set the UV position, scale and animation.	UVの位置やサイズ、アニメーションの設定ができます	UV의 위치 나 크기, 애니메이션을 설정할 수 있습니다	你可以设置UV位置、比例和动画。	你可以設置UV位置、比例和動畫。
sColors	Color	色設定	색상 설정	颜色设置	顏色設置
sMainColorSetting	Main Color	基本色設定	기본 색상 설정	主色设置	主色設置
sMainColorTips	You can set the color and transparency.	色や透明度の設定ができます	색상과 투명도를 설정할 수 있습니다	你可以设置颜色和透明度。	你可以設置顏色和透明度。
sMainColor	Main Color	メインカラー	메인 컬러	主色	主色
sMainColor2nd	Main Color 2nd	メインカラー2nd	메인 컬러 2nd	主色2nd	主色2nd
sMainColor3rd	Main Color 3rd	メインカラー3rd	메인 컬러 3rd	主色3rd	主色3rd
sGradationMap	Gradation Map	グラデーションマップ	그라디언트 맵	渐变映射	漸變映射
sColorAdjustMask	Color Adjust Mask	色調補正マスク	색조 보정 마스크	色调校正蒙版	色調校正蒙版
sNotAlphaIsTransparency	This texture is not marked as AlphaIsTransparency	このテクスチャはAlphaIsTransparencyとして設定されていません	이 텍스처는 Alpha Is Transparency로 설정되어 있지 않습니다	此纹理未被设置为AlphaIsTransparency	此紋理未被設置為AlphaIsTransparency
sAlphaMask	Alpha Mask	アルファマスク	알파 마스크	Alpha蒙版	Alpha蒙版
sAlphaMaskWarnOpaque	If you want to use Alpha Mask, you need to change the "Rendering Mode" to Cutout or Transparent.	アルファマスクを使う場合は"描画モード"をカットアウトか半透明に変更する必要があります。	알파 마스크를 사용하려면 "렌더링 모드"를 단편 또는 반투명로 변경해야합니다.	如果要使用Alpha蒙版，则需要将“Rendering Mode”更改为镂空或透明。	如果要使用Alpha蒙版，則需要將“Rendering Mode”更改為鏤空或透明。
sAlphaMaskModeNone	None	None	None	None	None
sAlphaMaskModeReplace	Replace	置き換え	Replace	Replace	Replace
sAlphaMaskModeMul	Multiply	乗算	Multiply	Multiply	Multiply
sShadowSetting	Shadow	影設定	그림자 설정	阴影设置	陰影設置
sShadowTips	You can set the color and range of the shadow.	影の色や範囲の設定ができます	그림자의 색상과 범위를 설정할 수 있습니다	你可以设置阴影的颜色和范围。	你可以設置陰影的顏色和範圍。
sShadow	Shadow	影	그림자	阴影	陰影
sReceiveShadow	Receive Shadow	影を受け取る	그림자를받는	接收阴影	接收陰影
sShadowColor	ShadowColor	影色	그림자 색	阴影颜色	陰影顏色
sShadow1stColor	1st Color	影色1	그림자 색 1	颜色1	顏色1
sShadow2ndColor	2nd Color	影色2	그림자 색 2	颜色2	顏色2
sShadowEnvStrength	Environment strength on shadow color	影色への環境光影響度	그림자 색에 환경 광의 영향	阴影颜色的环境强度	陰影顏色的環境強度
sShadowBorderColor	Border Color	境界の色	경계의 색	边界颜色	邊界顏色
sShadowBorderRange	Border Range	境界の幅	경계의 폭	边界范围	邊界範圍
sBacklight	Backlight	逆光ライト	Backlight	Backlight	Backlight
sBacklightTips	Add a backlight when the light is behind the model.	逆光時に光を乗せる表現ができます	라이트가 모델 뒤에 있을 때 백라이트를 추가하다	当照明在模型后面时添加背光灯	當照明在模型後面時添加背光燈
sDirectivity	Directivity	指向性	지향성	指向性	指向性
sViewDirectionStrength	View direction strength	視線方向の影響度	뷰 방향의 영향도	视线方向影响	視線方向影響
sOutlineSetting	Outline	輪郭線設定	윤곽선 설정	轮廓设置	輪廓設置
sOutlineTips	You can set the color and thickness of the outline.	輪郭線の色や太さの設定ができます	윤곽선의 색과 굵기를 설정할 수 있습니다	你可以设置轮廓的颜色和厚度。	你可以設置輪廓的顏色和厚度。
sOutline	Outline	輪郭線	윤곽선	轮廓	輪廓
sWidth	Mask & Width	マスクと太さ	마스크와 굵기	蒙版 & 宽度	蒙版 & 寬度
sWidthR	Width (R)	太さ (R)	굵기 (R)	宽度 (R)	寬度 (R)
sFixWidth	Fix width by distance	距離に応じた太さ補正	거리에 따른 굵기 보정	按距离正确宽度	按距離正確寬度
sVertexR2Width	Vertex R -> Width	Vertex R -> Width	Vertex R -> Width	Vertex R -> Width	Vertex R -> Width
sRefractionSetting	Refraction	屈折設定	굴절 설정	折射设置	折射設置
sRefractionTips	You can set the refraction strength and color.	屈折の強さや色の設定ができます	굴절의 강도나 색을 설정할 수 있습니다	你可以设置折射强度和颜色。	你可以設置折射強度和顏色。
sRefraction	Refraction	屈折	굴절	折射	折射
sRefractionFresnel	Fresnel	フレネル	프레넬	菲涅尔	菲涅爾
sColorFromMain	Get color from Main	メインカラーから色を取得	메인 컬러에서 색상 가져 오기	从主色获取颜色	從主色獲取顏色
sFurSetting	Fur	ファー設定	퍼 설정	毛皮设置	毛皮設置
sFurTips	You can set the length and direction of the fur.	ファーの長さや向き、質感の設定ができます	퍼의 길이와 방향, 질감을 설정할 수 있습니다	你可以设置毛皮的长度和方向。	你可以設置毛皮的長度和方向。
sFur	Fur	ファー	퍼	毛皮	毛皮
sGravity	Gravity	重力	중력	重力	重力
sAO	AO	陰影	AO	AO	AO
sVertexColor2Vector	VertexColor -> Vector	VertexColor -> Vector	VertexColor -> Vector	VertexColor -> Vector	VertexColor -> Vector
sLayerNum	Layer Counts	レイヤー数	레이어 수	层数	層數
sRootWidth	Root Width	根本の太さ	근본 굵기	根厚度	根厚度
sTessellation	Tessellation	テッセレーション	텟세레이션	Tessellation	Tessellation
sTessellationTips	You can set the tessellation.	テッセレーションのかかり方を設定できます	텟세레이션을 설정할 수 있습니다.	你可以设置Tessellation。	你可以設置Tessellation。
sTessellationEdge	Threshold length	閾値	길이의 한계	阈值长度	閾值長度
sTessellationShrink	Shrink	縮小補正	축소	缩减	縮減
sTessellationFactor	Max Factor	最大分割数	최대 분할수	最大系数	最大係數
sEmissionSetting	Emission	発光設定	발광 설정	发光设置	發光設置
sEmissionTips	You can set the color and blinking of the light.	発光の色や点滅に関する設定ができます	발광의 색이나 점멸에 관한 설정이 가능합니다	你可以设置灯光的颜色和闪烁。	你可以設置燈光的顏色和閃爍。
sEmission	Emission	発光テクスチャ	발광	发光	發光
sEmission2nd	Emission 2nd	発光テクスチャ2nd	발광 2nd	发光2nd	發光2nd
sBlinkStrength	Blink Strength	点滅の強さ	점멸 힘	闪烁强度	閃爍強度
sBlinkType	Blink Type	点滅タイプ	점멸 타입	闪烁类型	閃爍類型
sBlinkSpeed	Blink Speed	点滅の速度	점멸 속도	闪烁速度	閃爍速度
sBlinkOffset	Blink Offset	点滅のズレ	점멸의 차이	闪烁偏移	閃爍偏移
sGradation	Gradation	グラデーション	그라데이션	渐变	漸變
sGradTexSpeed	Texture & Speed	テクスチャ & 変化速度	텍스처 & 변화 속도	纹理 & 速度	紋理 & 速度
sGradColor	Color	色	색	颜色	顏色
sParallaxDepth	Parallax Depth	視差の強さ	시차의 강도	视差深度	視差深度
sFluorescence	Fluorescence	蛍光	형광	荧光	熒光
sParallax	Parallax	視差マップ	시차	视差	視差
sParallaxTips	You can set the parallax.	視差マップに関する設定ができます	시차에 대한 설정을 할 수 있습니다	你可以设置视差。	你可以設置視差。
sParallaxR	Parallax (R)	Parallax (R)	시차 (R)	视差 (R)	視差 (R)
sParallaxOffset	Offset	オフセット	오프셋	偏移	偏移
sDistanceFade	Distance Fade	距離フェード	거리 페이드	距离淡化	距離淡化
sDistanceFadeTips	You can set the color change depending on the distance.	距離に応じて色の変更ができます	거리에 따라 색상을 변경할 수 있습니다	你可以根据距离来设置颜色的变化。	你可以根據距離來設置顏色的變化。
sStartDistance	Start Distance	開始距離	시작 거리	开始距离	開始距離
sEndDistance	End Distance	終了距離	종료 거리	结束距离	結束距離
sAudioLink	AudioLink	AudioLink	AudioLink	AudioLink	AudioLink
sAudioLinkTips	This setting allows you to change the appearance of a material through the AudioLink system.	AudioLinkシステムに合わせてマテリアルを変化させられます	AudioLink 시스템에 의해 재료의 외형을 변화시키는 설정입니다.	根据AudioLink系统更改Material外观的设置。	根據AudioLink系統更改Material外觀的設置。
sAudioLinkUVMode	UV Mode	UV Mode	UV Mode	UV Mode	UV Mode
sAudioLinkUVModeNone	None	None	None	None	None
sAudioLinkUVModeRim	Rim	Rim	Rim	Rim	Rim
sAudioLinkUVModeUV	UV	UV	UV	UV	UV
sAudioLinkUVModeMask	Mask	マスク	마스크	蒙版	蒙版
sAudioLinkUVModePosition	Position	座標	좌표	职位	職位
sAudioLinkBand	Band	帯域	Band	Band	Band
sAudioLinkBandBass	Bass	Bass	Bass	Bass	Bass
sAudioLinkBandLowMid	Low Mid	Low Mid	Low Mid	Low Mid	Low Mid
sAudioLinkBandHighMid	High Mid	High Mid	High Mid	High Mid	High Mid
sAudioLinkBandTreble	Treble	Treble	Treble	Treble	Treble
sAudioLinkStartPosition	Start Position	開始点	원점	初始点	初始點
sAudioLinkMovingVector	Moving Vector	移動方向	이동 방향	运动方向	運動方向
sAudioLinkNormalStrength	Normal Strength	法線方向の強度	법선 방향의 강도	法线强度	法線強度
sAudioLinkAsLocal	As Local	ローカル化	로컬	当地	當地
sAudioLinkLocalMap	Local Map	ローカルマップ	Local Map	Local Map	Local Map
sAudioLinkLocalMapBPM	BPM	BPM	BPM	BPM	BPM
sAudioLinkLocalMapNotes	Notes	拍数	Notes	Notes	Notes
sAudioLinkDefaultValue	Default value for no AudioLink	AudioLink無効時の初期値	AudioLink 비활성화 시 기본값	无 AudioLink 的默认值	無 AudioLink 的默認值
sDissolve	Dissolve	Dissolve	Dissolve	Dissolve	Dissolve
sDissolveTips	Settings for dissolving a material	マテリアルが溶けるような表現ができます	머티리얼이 녹는듯한 표현을 할 수 있습니다	用于溶解材料的设置	用於溶解材料的設置
sDissolveWarnOpaque	If you want to use Dissolve, you need to change the "Rendering Mode" to Cutout or Transparent.	Dissolveを使う場合は"描画モード"をカットアウトか半透明に変更する必要があります。	Dissolve를 사용하는 경우 "렌더링 모드"를 컷아웃이나 투명한으로 변경해야 합니다	如果要使用Dissolve，则需要将“Rendering Mode”更改为镂空或透明。	如果要使用Dissolve，則需要將“Rendering Mode”更改為鏤空或透明。
sDissolveMode	Dissolve Mode	Dissolve Mode	Dissolve Mode	Dissolve Mode	Dissolve Mode
sDissolveModeNone	None	None	None	None	None
sDissolveModeAlpha	Alpha	透明度	Alpha	Alpha	Alpha
sDissolveModeUV	UV	UV	UV	UV	UV
sDissolveModePosition	Position	座標	좌표	职位	職位
sDissolveShape	Shape	形状	모양	形状	形狀
sDissolveShapePoint	Point	点	점	点	點
sDissolveShapeLine	Line	線	선	线	線
sEncryption	Encryption	暗号化	암호화	加密	加密
sEncryptionTips	Decrypt the mesh from 4 keys.	4つのキーによってメッシュを復号化します	4개의 키를 사용하여 메쉬를 복호화합니다	从4个密钥解密该网状	從4個密鑰解密該網狀
sIgnoreEncryption	Ignore Encryption	Ignore Encryption	Ignore Encryption	Ignore Encryption	Ignore Encryption
sKeys	Keys	Keys	Keys	Keys	Keys
sNormalMapReflection	Normal Map & Reflection	ノーマルマップ・光沢設定	노멀 맵 광택 설정	法线贴图 & 反射设置	法線貼圖 & 反射設置
sNormalMapSetting	Normal Map	ノーマルマップ設定	노멀 맵 설정	法线贴图设置	法線貼圖設置
sNormalMapTips	You can set the normal map.	ノーマルマップの設定ができます	노멀 맵을 설정할 수 있습니다	你可以设置法线贴图。	你可以設置法線貼圖。
sNormalMap	Normal Map	ノーマルマップ	노멀 맵	法线贴图	法線貼圖
sNormalMap2nd	Normal Map 2nd	ノーマルマップ2nd	노멀 맵 2nd	法线贴图2nd	法線貼圖2nd
sNormalRGB	Normal (RGB)	ノーマル (RGB)	노멀 (RGB)	法线 (RGB)	法線 (RGB)
sAnisotropy	Anisotropy	異方性反射	애니소트로픽	各向异性反射	各向異性反射
sTangentWidth	Tangent Width	タンジェント方向の幅	Tangent Width	Tangent Width	Tangent Width
sBitangentWidth	Bitangent Width	バイタンジェント方向の幅	Bitangent Width	Bitangent Width	Bitangent Width
sReflectionsSetting	Reflections	光沢設定	광택 설정	反射设置	反射
sReflectionsTips	You can set the Reflections.	光沢に関する設定ができます	광택 관한 설정을 할 수 있습니다	你可以设置反射。	你可以設置反射。
sReflection	Reflection	反射	반사	反射	反射
sSmoothness	Smoothness	滑らかさ	부드러움	平滑度	平滑度
sSmoothnessR	Smoothness (R)	滑らかさ (R)	부드러움 (R)	平滑度 (R)	平滑度 (R)
sMetallic	Metallic	金属度	금속도	金属程度	金屬程度
sMetallicR	Metallic (R)	金属度 (R)	금속도 (R)	金属程度 (R)	金屬程度 (R)
sReflectance	Reflectance	反射率	반사율	反射率	反射率
sSpecularMode	Specular Mode	光沢のタイプ	광택 타입	反射模式	反射模式
sSpecularNone	None	無効	무효	无	無
sSpecularReal	Realistic	リアル	리얼	现实	現實
sSpecularToon	Toon	トゥーン	툰	卡通	卡通
sMultiLightSpecular	Multi Light Specular	複数ライトから光沢を生成	복수 라이트에서 광택 생성	从多个光源生成反射	從多個光源生成反射
sApplyReflection	Environment Reflections	環境光の反射	환경광 반사	环境反射	環境反射
sMatCap	MatCap	マットキャップ	매트 캡	MatCap	MatCap
sMatCap2nd	MatCap 2nd	マットキャップ2nd	매트 캡 2nd	MatCap 2nd	MatCap 2nd
sBlendUV1	Blend UV1	UV1を合成	Blend UV1	Blend UV1	Blend UV1
sMatCapZRotCancel	Z-axis rotation cancellation	Z軸回転キャンセル	Z축 회전 취소	Z轴旋转取消	Z軸旋轉取消
sFixPerspective	Fix Perspective	パース補正	Fix Perspective	Fix Perspective	Fix Perspective
sHelpMatCapBlending	Turn off "Enable Lighting" in multiply mode.	乗算モードでは"ライティングを適用"を0にしてください	곱셈 모드에서는 "라이팅을 적용"을 0으로 해 주세요	关闭乘法模式下的 启用照明。	關閉乘法模式下的 啟用照明。
sMatCapCustomNormal	Custom normal map	カスタムノーマルマップ	커스텀 노멀 맵	自定义法线贴图	自定義法線貼圖
sRimLight	Rim Light	リムライト	림 라이트	Rim Light	Rim Light
sFresnelPower	Fresnel Power	リムライトの細さ	림 라이트의 벌금	菲涅尔功率	菲涅爾功率
sRimLightDirection	Light direction strength	ライト方向の影響度	라이트 방향의 영향도	光线方向影响	光線方向影響
sRimDirectionRange	Direct light width	直接光の幅	직접 빛의 폭	直射光宽	直射光寬
sRimIndirectionRange	Indirect light width	間接光の幅	간접 조명의 폭	间接光宽	間接光寬
sGlitter	Glitter	ラメ	Glitter	Glitter	Glitter
sParticleSize	Particle Size	パーティクルサイズ	파티클 사이즈	粒子大小	粒子大小
sContrast	Contrast	コントラスト	콘트라스트	对比度	對比度
sAngleLimit	Angle limit	角度制限	각도 제한	角度限制	角度限制
sColorRandomness	Color Randomness	ランダムカラー	랜덤 컬러	随机颜色	隨機顏色
sGem	Gem	宝石	보석	宝石	寶石
sChromaticAberration	Chromatic Aberration	色収差	색수차	色差	色差
sEnvironmentColor	Environment Color	環境光の色	환경광 색상	环境光色	環境光色
